абазия | abasia, ае / | abaziya
алалия | alalia, a e f | alaliya; gun; lal
алейкемический лейкоз, алейкемия | aleukaemia, ae f | aleykemiki leykoz; aleykemiya
алейкия | aleukia, ae f | aleykiya
Александрова-Шауты- | Alexandrov-Schauta- | Aleksandrow-§aut- Wertgeym
Вертгейма операция | Wertheim operatio | operasiyasy
алексия | alexia, ae f | aleksiya
алиментарная интоксикация | intoxicatio alimentaria | alimentar intoksikasiya
- лихорадка | febris alimentaria | alimentar gyzdyrmasy
алиментарный | alimentarius, a um | alimentar; iymit
алимфоцитоз | alymphocytosis, is f | alimfositoz
алкалоз | alcalosis, is f | alkaloz; a§garly
алкалоид | alcaloidum, i n | alkaloid
алкаптонурия | alcaptonuria, ae f | alkaptonuriya
алкоголизм, алкоголизм хронический | aicoholismus, / in | alkogolizm; arakhorluk; hroniki arakhorluk
алкоголь этиловый | alcohol, is it : spiritus, us in | etil alkogoly
алкогольное опьянение | ebrietas, atis f | alkogoi serho$lygy
алкогольные, или спиртные напитки | spirituosa, n/pl | alkogolly ya-da spirtli i^giler
алкогольный | spirituosus, a, um | alkogolly; alkogoi . . .
аллантназис | botulismus, i m | botulizm
аллантоис | allantois, idis f | allantois
аллерген | allergenum, i n | allergen
аллергический ринит | rhinitis allergica | allergiki rinit
аллергическое заболевание | allergosis, is f | allergik kesel
аллергия | allergia, ae f | allergiya
- лекарственная | morbus medicamentosus | derman allergiyasy
аллергоз | allergosis, is f | allergoz
аллолалия | allolalia, ae f | allolaliya
аллопатия | allopathia, ae f | allopatiya
аллопластика | alloplastica, ae f | alloplastika
аллотрансплантация | allotransplantatio, onis f | allotransplantasiya
алопеция | alopecia, ae f | alopesiya; sa^yn dii§mesi
- гнездная | alopecia areata | ^ogdamlayyn sa? dii§me
Альберс-Шенберга болезнь | osteopetrosis, is f | Albers--§enbergin keseli; osteopetroz
альбинизм | albinismus, i in | albinizm
альбумин | albuminum, i n | albumin
- сывороточный | seroalbuminum, i n | syworotka albumini
альбуминурия | albuminuria, ae f | albuminuriya
- ортостатическая | albuminuria orthostatica | ortostatik albuminuriya
альвеола | alveolus, i in | alweola; hana; oyjuk; duwme
альвеолы зубные | alveoli dentales | di§ alweolalary; di§ hanalary
- легочные | alveoli pulmonis | oyken ahveolalary
альвеолярная пиорея | pyorrhoea alveolaris | alweolyar pioreya: ahveolalardan irin akmasy
альвеолярный | alveolaris, e | alweolyar
альдостерон | aldosteronum, i n | aldosteron
альтерация | alteratio, onis f | alterasiya; uytge§me
альтернирующий | alternans, ntis | alternirleyan; uytgeyan
- пульс | pulsus alternans | uytgap duryan damar urgusy, puls
амавроз | amaurosis is f | amawroz; korluk
амблиопия | amblyopia, ae f | ambliopiya
амбоцептор | amboceptor, oris in | amboseptor
амбулатория | anibulatorium, i n | ambulatoriya
амебиаз, амебная дизентерия | amoebiasis, is f | amyoba dizenteriyasy; i^ge^mesi
аменорея | amenorrhoea, ae f | amenoreya
аменция, аментивный синдром | amentia, ae f | amensiya; kemakyllyk; amentiw, kemakyllyk sindromy
аметропия | ametropia, ae J ' | ametropiya
амилаза | amylasa. ae f | amilaza
- слюны | ptyalinum, i n | ptialin; tiiykiilik amilazasy
амилоид | amvloidum, i n | amiloid
амилоидное перерождение | amyloidosis, is f | amiloid ozgermeler
амилоидные тельца | corpus amylaceuni | amiloid beden jikleri
амилоидный | aniyloideus, a, um | amiloidli
амнлоидоз | amyloidosis, is f | amiloidoz
амиотаксия | ainyotaxia, ae f | amiotaksiya
Аммонов рог | hippocampus, i m | gippokamp: Ammon $ahy
амнезия | amnesia, ae f | amneziya: hussuzlyk
- антсроградная | amnesia anterograda | anterograd amneziyasy
- ретроградная | amnesia retrograda | retrograd amneziyasy
амнион, амниотическая оболочка | amnion, i n | amnion; amnion bardasy; dmvuncegin suwly perdesi
амниотическая жидкость | liquor aninii | amnion suwuklygy
амоция | amotio, onis f | amosiya; ayyrmak
ампелотерапия | ampelotherapia, ae f | ampeloterapiya
ампула | ampulla, ae f | ampula
- прямой кишки | ampulla recti | goni i^ege ampulasy
ампутация | amputatio, onis f | amputasiya; kesip ayyrmak
- Пирогова | Pirogovi amputatio | Pirogowyn amputasiyasy; kesi§ usuly
- повторная | reamputatio, onis f | reoamputasiya; gaytalanyan amputasiya
амфиартроз | amphiarthrosis, is f | amfiartroz
амфиболнческий | amphibolicus. a, um | amfiboliki; iki manyly; siiblu li. nabelli
амфодонтоз | parodontosis, is f | parodontoz; amfodontoz
амфорофонпя | amphorophonia, ae f | amforofoniya
амфотерный | aniplioterus, a, um | amfoterli
амфотония | amphotonia, ae f | amfotoniya
анабиоз | anabiosis, is f | anabioz
анаболизм | anabolismus, i m | anabolizm
аналгезия | analgesia, ae f | analgeziya
аналептики | analeptica (remedia), n/pl | analeptikler
анализатор | analysator, oris m | analizator
- вкусовой | organum gustus | tagam duyu§ analizatory
- зрительный | organuni visus | gorti§ analizatory
- обонятельный | organum olfactus | ys aly§ analizatory
- слуховой и вестибулярный | organum stato-acusticum | e§idi§ we westibulyar, denagramlylyk analizatorlary
анатьгетические лекар­ | analgetica (remedia), n/pl; | analgetiki derman seri^deleri
ственные средства | anodyna (remedia), n/pl; | 
анальное, или заднепроходное, отверстие | anus, i m | anus; artbujak
анальный | analis, e | anal; artbujak . .. , artbujaga degi^li
анамнез | anamnesis, is f | anamnez
анаплазия | anaplasia, ae f | anaplaziya
анартрия | anarthria, ae f | anartriya
анасарка | anasarca, ae f | anasarka; deriastv
анастомоз | anastomosis, is f | anastoinoz; seplcmek
- кишечный | enteroanastomosis, is f | i(;ege anastomozy; iyegeleri sepleniek
анатоксин | anatoxinum, / n | anatoksin; toksinin immunitet doretmage ukyply bolan zyyansyz deriwaty
анатомирование | sectio, onis f | scksiya; anatomiki kesme
анатомия | anatomia, ae f | anatomiya
- топографическая | topographia, ae f | topografiki anatomiya
анафилаксия | anaphylaxia, a e f | anafilaksiya -
анациднтас | anaciditas, atis f | anasidlilik; tur§ulygvn bolmazlygy
анаэробы | anaerobia, ae f | anaeroblar; atmosfera howasy bolmadyk yerde ,a§ayan mikroblar
ангидремия | anhydraemia, ae f | angidremiya
ангидроз | anhidrosis, i s f | angidroz
ангиит | angiitis, tidis f | angiit
ангина (горловая) | angina, ae f | angina; damak anginasy; basyk
- агранулоцитарная | agranulocytosis, is / ; angina agranulocytotica | agranulositar anginasy
- Людвнга | angina Ludovici | Lyudwigin anginasy
- моншцпарнаи, или | mononucleosis infectiosa | monositar angina
- флегмонозная | angina phlegmonosa | flegmonoz angina
- язвенно-пленчатая, ангина Симановского-Плаута-Венсана | angina branacea | Simanowskiy-PlautWensanyn basly-ortiikli anginasy
ангина абдоминальная | angina abdominalis | abdominal anginasy
ангиография | angiographia, ae f | angiografiya; damar (puls) urgusynyn egrisini yazma
ангиокардиография | angiocardiographia, ae f | angiokardiografiya
ангиология | angiologia, ae f | angiologiya; gan damarlary hakyndaky ylym
ангиома | angioma, atis n | angioma
ангиоматоз | angiomatosis, is f | angiomatoz
ангиомы множественные | angiomatosis, is f | kop sanly angiomalar
ангионевроз | angioneurosis, is f | angionewroz
ангионевротический отек, острый ограниченный отек | Oedema angioneuroticum | angionewrotiki ^i§; yiti yakli oedema
ангиопатия | angiopathia, ae f | angiopatiya
ангиопсатироз | angiopsathyrosis, is f | angiopsatiroz
ангиорексис | angiorrhexis, is f | angioreksis; gan damarla rynyn yarylmagy
ангиоррафия | angiorrhaphia, ae f | angiorrafiya; gan damary tikme
ангиоспазм | angiospasmus, i in | angiospazm; gan damarla ryn gysylmagy
ангиотрофоневроз | angiotrophoneurosis, is f | angiotrofonewroz; trofiki bozulmaklyk bilen bolyan gan damarlarynyn newrozy
ангиохолецистит | angiocholecystitis, tidis f | angioholesistit
ангиохолит | cholangitis, tidis f | holangit; angioholit
английская болезнь | rachitis, tidis f | rahit; igleme
ангор | angor, oris in | angor; gorky duygusy; yiirek gysma; gussa
андроген, андрогенное вещество | androgenum, i n | androgen; androgen jisinileri
аневризма | aneurysma, atis n | anewrizma; arteriyanyn ginelmegi
- расслаивающая | aneurysma dissecans | gatlaga bolunydn anewrizma
анемический (ишемический | infarctus anaemicus sive | i§emiya ya-da ak infarkt
или белый) инфаркт | ishaemicus sive albus | 
анемия | anaemia, ae f | anemiya; az ganlylyk
- агастрическая | anaemia agastrica | agastriki anemiya, az ganlylyk
- апластическая, или арегенераторная | anaemia aplastica | aplastiki anemiya, az ganlylyk
- ахлоргидридная, железодефицитная анемия у взрослых | chloranaemia, ae f | hloranemiya; ulularda demir yetmez^iliginden doreyan anemiya, az ganlylyk
- ахрестическая | anaemia achrestica | ahrestiki anemiya, az ganlylyk
- В 12-дефицитная | anaemia perniciosa | pernisioz anemiya; VV, 2 witamin yetmez^iliginden yuze ^ykyan anemiya, az ganlylyk
- вторичная | anaemia secundaria | ikinji sebaplere gora doreyan anemiya, az ganlylyk
- гемолитическая | anaemia haemolytica | gemolitik anemiya, az ganlylyk
- новорожденных | morbus haemolyticus neonatorum | taze doglan ^agalarda du§yan gemolitiki anemiya
- ложная | pseudoanaemia, ae f | psewdoanemiya
- местная | ischaemia, ae f | yerli anemiya; az ganlylyk; i§emiya
- микросфероцитарная | anaemia microsphae- rocytica | mikrosferositar anemiya, az ganlylyk
- первичная, ювенильная, железодефицитная | chlorosis (chlorosis juvenilis) | ilkinji; yuwenil; demir yetmez^iliginden doreyan anemiya, az ganlylyk
- пернициозное, злокачественное малокровие | anaemia perniciosa | pernisioz; howply anemiya, az ganlylyk
- постгеморрагическая | anaemia posthaemor rhagica | gemorragiyadan sonky; gan yitirilmegi zerarly doreyan anemiya, az ganlylyk
- туннельная, анемия шахтеров | ankylostomiasis, is f | ^ahta^ylarda du§yan anemiya, az ganlylyk
- эритробластическая (Кули), или средиземноморская | anaemia Cooley | eritroblastiki (Kuli) ya-da Ortayer deniz anemiyasy, az ganlylygy
анестезиология | anaesthesiologia, ae f | anesteziologiya
анестезирующие, или обезболивающие, лекарственные средства | anaesthetica (remedia), n/pl | anestetiki ya-da agyryny ayyryjy derman seri§deleri
анестезия | anaesthesia, ae f | anesteziya
- местная | anaesthesia localis | lokal; yerli anesteziya
- спинномозговая | rhachianaesthesia, ae f | onurga-yilik anesteziyasy
анизокория | anisocoria. ae f | anizokoriya
анизометропия | anisometropia, ae f | anizometropiya
анизорефлексия | anisoreflexia, ae f | anizorefleksiya
анизоцитоз | anisocytosis, is f | anizositoz
анимальнмй | animalis, e | animal; haywan . . .
аниридия | aniridia, ae f | aniridiya
анкилоз | ankyl jsis, is f | ankiloz; bogunlaryn hereketsizligi '
анкилостома | ankylostoma duodenale | ankilosf o*na; gur^uk
анкилостомидоз | ankylostomiasis, is f | ankilostomidoz
аноксемия | anoxaemia, ae f | anoksemiya
аноксия | anoxia, ae f | anoksiya
аномалия | anomalia, ae f | anomaliya
- (слабая степень) | aberratio, onis, J N * * ' i'1 | pes derejeli anomaliya
- конституциональная | diathe as, is f | nstitusional anomali/a
- рефракции | refractio, onis f | refraksiya anomaliyasy
анонимный | anonymus, a, um | anonim: atsyz
анонихия, анонихоз | anonychia, ae f | anonihiya; anonihoz
анопсия | anopsia, ae f | anopsiya
анорексия | anorexia, ae f | anoreksiya
аноректальный синдром | syndromum anorectale | anorektal sindromy
аномальный | abnormalis, e | anomal
анорхизм, анорхия анорхидия | anorchia. ae f | anorhizm; anorhiya anorhidiya
аносмия | anosmia, ae f | anosmiya; ys duymazlyk
анофелес | Anopheles, m f | anofeles; ^ybyn
анофтальмия, анофтальм | anophthalmia, ae f | anoftalmiya; bir ya iki goziin bolmazlygv
антагонизм | antagonismus, i m | antogonizm: gapma-gar§y giiy^lerin gore§i
- бактериальный | antibiosis, is f | bakterial antogonizmi
антацидные лекарственные средства | antacida (remedia), n/pl | antasid derman seri$deleri; kislotalara gar^y derman seri§deleri
антеверсия | anteversio, onis f | antevversiya; one gy§arma; egilnie; siiy§me
- матки | anteversio uteri | yatgynyn one egilmegi
антепознния | antepositio, onis f | antepozisiya; one tarap gy§arma, siiy^me
- матки | antepositio uteri | yatgynyn one siiy§megi
антибактериальный | antibacteriaiis, e | antibakterial: hakteriyalara gar§y
антибиоз | antibiosis, is f | antibioz
антибиотики | antibiotica (remedia) n/pl | antibiotikler
антивирус | antivirus, i n | antiwirus
антигены | antigena, omm , n/pI | antigenler
антидиурез | antidiuresis, is f | antidiurez
антидоты | antidota (remedia), n/pl | antidotlar
антикоагулянты | anticoagulantia (remedia), n/pl | antikoagulyantlar
антиметаболиты | antimetabolita, orum n/pl | antimetabolitler
антимикробные, или противомикробные средства | antibacterialia (remedia), n/pl | mikroba gar§y seri§deler
антиперистальтика | antiperistaltica, ae f | antiperistaltika
антипирез | antipyresis, is f | antipirez
антиниретические лекарственные средства | antipyretica (remedia), n/pl | antipiretiki, gyzgyna gar§y derman seri§deleri
антисептика | antisepsis, is f | antiseptika
антисептические лекарственные вещества | antiseptica (remedia), n/pl | antiseptik derman maddalary
антисептический | antisepticus, a, um | antiseptik
антиспазматическне средства | antispasmodica (remedia), n/pl | tutgaya gar«?y seri§deler; antispazmatik serisdeler
антитела | anticorpora, um n/pl | gorayjy bedenjikler
антитело | amboceptor, oris т | antitelo
антитиреоидные (тиреостатические) лекарственные средства | thyreostatica (remedia), n/pl | antitireoid derman seri§deleri
антитоксины | antitoxina, orum n/pl | antitoksinler
антифлогистические средства | antiphlogistica (remedia), n/pl | antiflogistiki seri§deler
антракоз легких | anthracosis pulmonum | oyken antrokozy
антракс | anthrax, acis m | saryba§ keseli
антрит | antritis, tidis f | antrit
антропология | anthropologia, ae f | antropologiya; adam hakynda ylym
антропометрия | anthropometria, ae f | antropometriya; adamyn gowresini ol^eme; antropometrik olQegler
антропофобия | anthropophobia, ae f | antropofobiya; adamdan gorkmak
антротомия | antrotomia, ae f | antrotomiya
анурия | anuria, ae f | anuriya; pe^ewsizlik
анус | anus, i m | artbujak; anus
- претернатуралис | anus praeternaturalis | anus preternaturalis; cmeli artbujak
анэргия | anergia, ae f | anergiya; hereketsizlik
аорта | aorta, ae f | aorta; ba§ gan damary
- брюшная, или абдоминальная | aorta abdominalis | abdominal aorta; aortanyn garyn-i? boliimi
- восходящая | aorta ascendens | aortanyn yokary galyan boliimi
- грудная | aorta thoracica | aortanyn do§-gursak bolumi
- нисходящая | aorta descendens | aortanyn a$ak gaydyan bolumi
аортаиьгия | aortalgia, ae f | aortalgiya
аортальный стеноз | stenosis valv(ul), ae aortae | aortal stenozy
аортит | aortitis, tidis f | aortit
апатический синдром | apathia, ae f | apatiki sindrom
апатия | apathia, ae f | apatiya; susth'k; perwaysyzlyk
апериснты | aperientia (remedia), n/pl | aperiyentler
апертура | apertura, ae f | apertura; de^ik
апикальный | apicalis, e | apikal; ^tir depe
апиколиз | apicolysis, is f | apikoliz
апирексия | apyrexia, ae f | apireksiya
апиретический | apyretirus, a, um | apiretiki; gyzgynsyz
апитуитаризм | apituitarismus, i m | apituitarizm; gipofizin bolniazlygy
апицит | apicitis, tidis f | apisit
аплазия | aplasia, ae f | aplaziya
апноэ | apnoea, a e f | apnoe; dem aly§yn togtamagy
апокринные железы | apocrinus, a, um | apokrin mazleri
апоневроз | aponeurosis, is f | aponewroz; my$salaryn da§yny dolayan sinir
апоплексия | apoplexia, ae f | apopleksiya; urgy
- мозга | apoplexia, ae f | beyni apopleksiyasy; beyna gan inmesi; insult
- спинальная | haematomyelia, ae f | onurga-yilik apopleksiyasy
апоплектический габитус, апоплектическое телосложение | habitus apoplecticus | apoplektiki beden gurlu$y
апоплектический удар | apoplexia, ae f | apoplektiki urgy
апофиз | apophysis, is f | apofiz; sunk vykyndysy, osiintgisi
аппарат | apparatus, us m | apparat
- вестибулярный | apparatus vestibularis | westibulyar; denagramlylyk apparaty
- голосовой, или голосообразовательный | glottis, tidis f | ses apparaty ya-da ses dorediji apparat
- дыхательный | apparatus respiratorius | dem aly§ apparaty
- лимфатический | apparatus Iymphaticus | limfatiki apparat
- мочеполовой | apparatus urogenitalis | urogenital; jyns-pe§ew apparaty
- пищеварительный | apparatus digestorius | iymit sindiris apparaty
аппаратура | apparatus, us m | apparatura
аппендикс | appendix, id s f | appendiks; gur^uk gornii^li osiintgi
аппендикулярный | appendicularis, e | appendikulyar
аппендицит | appendicitis, tidis f | appendisit
аппендэктомия | appendectomia, ae f | appendektomiya
апперцепция | apperceptio, onis f | apperesepsiya
аппетит | appetitus, us m | i$da
- извращенный | parorexia, ae f ; pica, ae f | bozulan i§da
- отсутствие | anorexia, ae f | i§dan bolmazlygy
- повышенный | bulimia, ae f | asa isdanienlik; iyermen; horan
- средства возбуждающие | amara, (remedia), n/pl aperitiva (remedia), n/pl | i^dani a^yan seri§deler
аппликация | applicatio, onis f | applikasiya
аппозиция | appositio, onis f | appozisiya
апраксия | apraxia, ae f | apraksiya
апрозексия | aprosexia, ae f | aprozeksiya
аптека | Pharmacia, ae f | dermanhana
аптиализм | aptyalismus, i m | aptializm
арахнодактилия | arachnodactyiia, ae f | arahnodaktiliya
арахноидальный | arachnoidealis, e | arahnoidal
арахноидит | arachnoiditis, tidis f | arahnoidit
аргиризм | argyrismus, i m | argirizm
аргироз | argirosis, is f | argiroz
ареолит | areolitis, tidis f | areolit
арефтексия | areflexia, ae f | arefleksiya
Аргайлла-Робертсона синдром | Argyll-Robertsoni symptoma | Argayll-Robertsonyn sindromy
аритмичный, аритмический | arhythmicys, a, um | aritmiki
- пульс | pulsus arhythmicus | aritmiki damar urma; puls
аритмия сердца | arhythmia, ae f | yiirek aritmiyasy
- абсолютная, иди полная | arhythmia absolute sive perpetua sive completa | absolyuf д-da doly aritmiya
- дыхательная, или респи­ | pulsus irregularis | dem aly§ ya-da respirator
раторная | respiratorius | aritmiyasy
- мерцательная | fibrillatio atriorum | tirpildeyan aritmiya
ароматный | adorans, ntis | yakymly ysly
аррозия | arrosio, onis f | arroziya
артериализированный | arteriosis | arteriyala§dyrylan
артериальная гипотония | hypotonia, ae f | arterial gipotoniya
артериальное кровяное давление | tensio arterialis | arterial gan basy§y
артериальный | arterialis, e | arterial
- жом | torcular, aris n | arterial biizgegi; gysgyjy
- шов | arteriorrhaphia, ae f | arterial tikin
артериит | arteriitis, tidis f | arteriit
- гигантоклеточныи, или гоанулемагозный, или темпоральный | arteriitis temporalis | uly oyjiikli granulyomatoz yada temporal arteriit
артериола | arteriola, a e f | arteriola
артериолосклероз | arteriolosclerosis, is f | arterioloskleroz
артериотомия | arteriotomia, ae f | arteriotomiya
артерия | arteria, ae f | arteriya
- венечная, или коронарная | arteria coronaria cordis | koronar ya-da yiirek arteriyasy
- легочная, или пульмональная | arteria puemonalis | pulmonal ya-da oyken arteriyasy
- лучевая | arteria radialis | bilek arteriyasy
- подвздошная общая | arteria iliaca communis | umumy yanba§ arteriyasy
- пупочная | arteria umbilicalis | gobek arteriyasy
- подключичная | arteria subclavia | yayjygasty arteriya
- сонная | arteria carotis | karotid arteriyasy; uky arteriyasy
артефакт | artefactum, i n | artefakt; emeli doredilen, yiize ?ykan, mahsus bolmadyk alamat
